('AAB', 'AAB', 'Arrabury', '', 'AU')
('ABG', 'ABG', 'Abingdon', '', 'AU')
('ABH', 'ABH', 'Alpha', '', 'AU')
('ABM', 'ABM', 'Bamaga', '', 'AU')
('ABX', 'ABX', 'Albury', '', 'AU')
('ADL', 'ADL', 'Adelaide', '', 'AU')
('ADO', 'ADO', 'Andamooka', '', 'AU')
('AGW', 'AGW', 'Agnew', '', 'AU')
('AGY', 'AGY', 'Argyle Downs', '', 'AU')
('ALH', 'ALH', 'Albany', '', 'AU')
('AMT', 'AMT', 'Amata', '', 'AU')
('AMX', 'AMX', 'Ammaroo', '', 'AU')
('ANZ', 'ANZ', 'Angus Downs', '', 'AU')
('ARM', 'ARM', 'Armidale', '', 'AU')
('ARY', 'ARY', 'Ararat', '', 'AU')
('ASP', 'ASP', 'Alice Springs', '', 'AU')
('AUD', 'AUD', 'Augustus Downs', '', 'AU')
('AUU', 'AUU', 'Aurukun Mission', '', 'AU')
('AVG', 'AVG', 'Auvergne', '', 'AU')
('AVV', 'MEL', 'Avalon', '', 'AU')
('AWN', 'AWN', 'Alton Downs', '', 'AU')
('AWP', 'AWP', 'Austral Downs', '', 'AU')
('AXC', 'AXC', 'Aramac', '', 'AU')
('AXL', 'AXL', 'Alexandria', '', 'AU')
('AYD', 'AYD', 'Alroy Downs', '', 'AU')
('AYL', 'AYL', 'Anthony Lagoon', '', 'AU')
('AYQ', 'AYQ', 'Ayers Rock/Uluru', '', 'AU')
('AYR', 'AYR', 'Ayr', '', 'AU')
('BBE', 'BBE', 'Big Bell', '', 'AU')
('BCI', 'BCI', 'Barcaldine', '', 'AU')
('BCK', 'BCK', 'Bolwarra', '', 'AU')
('BCZ', 'BCZ', 'Bickerton Island', '', 'AU')
('BDB', 'BDB', 'Bundaberg', '', 'AU')
('BDD', 'BDD', 'Badu Island', '', 'AU')
('BDW', 'BDW', 'Bedford Downs', '', 'AU')
('BEE', 'BEE', 'Beagle Bay', '', 'AU')
('BEO', 'NTL', 'Newcastle', 'Belmont', 'AU')
('BEU', 'BEU', 'Bedourie', '', 'AU')
('BFC', 'BFC', 'Bloomfield', '', 'AU')
('BHQ', 'BHQ', 'Broken Hill', '', 'AU')
('BHS', 'BHS', 'Bathurst', '', 'AU')
('BHT', 'BHT', 'Brighton Downs', '', 'AU')
('BIP', 'BIP', 'Bulimba', '', 'AU')
('BIW', 'BIW', 'Billiluna', '', 'AU')
('BKP', 'BKP', 'Barkly Downs', '', 'AU')
('BKQ', 'BKQ', 'Blackall', '', 'AU')
('BLN', 'BLN', 'Benalla', '', 'AU')
('BLS', 'BLS', 'Bollon', '', 'AU')
('BLT', 'BLT', 'Blackwater', '', 'AU')
('BME', 'BME', 'Broome', '', 'AU')
('BMP', 'BMP', 'Brampton Island', '', 'AU')
('BNE', 'BNE', 'Brisbane', '', 'AU')
('BNK', 'BNK', 'Ballina', '', 'AU')
('BOX', 'BOX', 'Borroloola', '', 'AU')
('BQB', 'BQB', 'Bussellton', '', 'AU')
('BQL', 'BQL', 'Boulia', '', 'AU')
('BQW', 'BQW', 'Balgo Hills', '', 'AU')
('BRJ', 'BRJ', 'Bright', '', 'AU')
('BRK', 'BRK', 'Bourke', '', 'AU')
('BRT', 'BRT', 'Bathurst Island', '', 'AU')
('BSJ', 'BSJ', 'Bairnsdale', '', 'AU')
('BTD', 'BTD', 'Brunette Downs', '', 'AU')
('BTX', 'BTX', 'Betoota', '', 'AU')
('BUC', 'BUC', 'Burketown', '', 'AU')
('BUY', 'BUY', 'Bunbury', '', 'AU')
('BVI', 'BVI', 'Birdsville', '', 'AU')
('BVW', 'BVW', 'Batavia Downs', '', 'AU')
('BVZ', 'BVZ', 'Beverley Springs', '', 'AU')
('BWB', 'BWB', 'Barrow Island', '', 'AU')
('BWQ', 'BWQ', 'Brewarrina', '', 'AU')
('BWT', 'BWT', 'Burnie', 'Wynyard', 'AU')
('BWU', 'BWU', 'Bankstown', '', 'AU')
('BXF', 'BXF', 'Belburn', '', 'AU')
('BXG', 'BXG', 'Bendigo', '', 'AU')
('BYX', 'BYX', 'Baniyala', '', 'AU')
('BZD', 'BZD', 'Balranald', '', 'AU')
('BZP', 'BZP', 'Bizant', '', 'AU')
('CAZ', 'CAZ', 'Cobar', '', 'AU')
('CBC', 'CBC', 'Cherrabun', '', 'AU')
('CBI', 'CBI', 'Cape Barren Island', '', 'AU')
('CBR', 'CBR', 'Canberra', '', 'AU')
('CBX', 'CBX', 'Condobolin', '', 'AU')
('CBY', 'CBY', 'Canobie', '', 'AU')
('CCL', 'CCL', 'Chinchilla', '', 'AU')
('CCW', 'CCW', 'Cowell', '', 'AU')
('CDA', 'CDA', 'Cooinda', '', 'AU')
('CDQ', 'CDQ', 'Croydon', '', 'AU')
('CDU', 'CDU', 'Camden', '', 'AU')
('CED', 'CED', 'Ceduna', '', 'AU')
('CES', 'CES', 'Cessnock', '', 'AU')
('CFH', 'CFH', 'Clifton Hills', '', 'AU')
('CFI', 'CFI', 'Camfield', '', 'AU')
('CFP', 'CFP', 'Carpentaria Downs', '', 'AU')
('CFS', 'CFS', 'Coffs Harbour', '', 'AU')
('CGV', 'CGV', 'Caiguna', '', 'AU')
('CIE', 'CIE', 'Collie', '', 'AU')
('CKI', 'CKI', 'Croker Island', '', 'AU')
('CLH', 'CLH', 'Coolah', '', 'AU')
('CMA', 'CMA', 'Cunnamulla', '', 'AU')
('CMD', 'CMD', 'Cootamundra', '', 'AU')
('CML', 'CML', 'Camooweal', '', 'AU')
('CMQ', 'CMQ', 'Clermont', '', 'AU')
('CNB', 'CNB', 'Coonamble', '', 'AU')
('CNC', 'CNC', 'Coconut Island', '', 'AU')
('CNJ', 'CNJ', 'Cloncurry', '', 'AU')
('CNS', 'CNS', 'Cairns', '', 'AU')
('COB', 'COB', 'Coolibah', '', 'AU')
('COJ', 'COJ', 'Coonabarabran', '', 'AU')
('COY', 'COY', 'Coolawanyah', '', 'AU')
('CPD', 'CPD', 'Coober Pedy', '', 'AU')
('CQP', 'CQP', 'Cape Flattery', '', 'AU')
('CRH', 'CRH', 'Cherribah', '', 'AU')
('CRJ', 'CRJ', 'Coorabie', '', 'AU')
('CRY', 'CRY', 'Carlton Hill', '', 'AU')
('CSD', 'CSD', 'Cresswell Downs', '', 'AU')
('CSI', 'CSI', 'Casino', '', 'AU')
('CTL', 'CTL', 'Charleville', '', 'AU')
('CTN', 'CTN', 'Cooktown', '', 'AU')
('CTR', 'CTR', 'Cattle Creek', '', 'AU')
('CUD', 'CUD', 'Caloundra', '', 'AU')
('CUG', 'CUG', 'Cudal', '', 'AU')
('CUQ', 'CUQ', 'Coen', '', 'AU')
('CUY', 'CUY', 'Cue/Day Dawn', '', 'AU')
('CVC', 'CVC', 'Cleve', '', 'AU')
('CVQ', 'CVQ', 'Carnarvon', '', 'AU')
('CWR', 'CWR', 'Cowarie', '', 'AU')
('CWT', 'CWT', 'Cowra', '', 'AU')
('CWW', 'CWW', 'Corowa', '', 'AU')
('CXQ', 'CXQ', 'Christmas Creek', '', 'AU')
('CXT', 'CXT', 'Charters Towers', '', 'AU')
('CYG', 'CYG', 'Corryong', '', 'AU')
('CZY', 'CZY', 'Cluny', '', 'AU')
('DAJ', 'DAJ', 'Dauan Island', '', 'AU')
('DBO', 'DBO', 'Dubbo', '', 'AU')
('DBY', 'DBY', 'Dalby', '', 'AU')
('DCN', 'DRB', 'Derby', 'Curtin', 'AU')
('DDI', 'DDI', 'Daydream Island', '', 'AU')
('DDN', 'DDN', 'Delta Downs', '', 'AU')
('DFP', 'DFP', 'Drumduff', '', 'AU')
('DGD', 'DGD', 'Dalgaranga', '', 'AU')
('DGE', 'DGE', 'Mudgee', '', 'AU')
('DHD', 'DHD', 'Durham Downs', '', 'AU')
('DKI', 'DKI', 'Dunk Island', '', 'AU')
('DKV', 'DKV', 'Docker River', '', 'AU')
('DLK', 'DLK', 'Dulkaninna', '', 'AU')
('DLV', 'DLV', 'Delissaville', '', 'AU')
